Sukupuoli,Ekr-lyhenne,Vaalipiiri,Etunimi,Sukunimi
na,kesk,Keski-Suomen läänin vaalipiiri,Aino,Suhola
na,vihr,Helsingin vaalipiiri,Johanna,Sumuvuori
mi,Sdp,Uudenmaan läänin vaalipiiri,Ulf,Sundqvist
na,Skdl,Turun läänin eteläinen vaalipiiri,Oili,Suomi
mi,kok,Helsingin kaupungin vaalipiiri,Ilkka,Suominen
na,Sdp,Helsingin kaupungin vaalipiiri,Kaarina,Suonio
na,vas,Satakunnan vaalipiiri,Katja,Syvärinen
mi,kok,Uudenmaan läänin vaalipiiri,Jouni J.,Särkijärvi
mi,kesk,Uudenmaan vaalipiiri,Seppo,Särkiniemi
mi,sd,Helsingin vaalipiiri,Jacob,Söderman
na,sd,Pohjois-Karjalan vaalipiiri,Säde,Tahvanainen
na,kok,Hämeen läänin pohjoinen vaalipiiri,Anneli,Taina
na,sd,Pirkanmaan vaalipiiri,Hanna,Tainio
mi,sd,Helsingin vaalipiiri,Ilkka,Taipale
na,sd,Hämeen vaalipiiri,Satu,Taiveaho
na,kok,Hämeen läänin pohjoinen vaalipiiri,Irmeli,Takala
mi,kesk,Lapin vaalipiiri,Hannu,Takkula
mi,Rkp,Turun läänin eteläinen vaalipiiri,Carl Olof,Tallgren
na,kd,Uudenmaan vaalipiiri,Tarja,Tallqvist
mi,Skdl,Hämeen läänin eteläinen vaalipiiri,Helge,Talvitie
mi,Sdp,Keski-Suomen läänin vaalipiiri,Hannu,Tapiola
mi,nuors,Uudenmaan läänin vaalipiiri,Jukka,Tarkka
mi,Rkp,Turun läänin eteläinen vaalipiiri,Christoffer,Taxell
mi,kesk,Hämeen läänin eteläinen vaalipiiri,Hannu,Tenhiälä
mi,vas,Lapin vaalipiiri,Esko-Juhani,Tennilä
na,r,Helsingin vaalipiiri,Astrid,Thors
na,vas,Keski-Suomen vaalipiiri,Eila,Tiainen
mi,r,Uudenmaan läänin vaalipiiri,Raimo,Tiilikainen
na,kok,Pirkanmaan vaalipiiri,Marja,Tiura
mi,vas,Kymen vaalipiiri,Pentti,Tiusanen
mi,kok,Hämeen läänin eteläinen vaalipiiri,Kyösti,Toivonen
mi,ps,Kymen vaalipiiri,Reijo,Tossavainen
na,kok,Pirkanmaan vaalipiiri,Irja,Tulonen
mi,Sdp,Kymen läänin vaalipiiri,Risto,Tuominen
mi,Sdp,Pohjois-Karjalan läänin vaalipiiri,Jouko,Tuovinen
mi,Skyp,Keski-Suomen läänin vaalipiiri,Olavi,Tupamäki
na,Deva,Uudenmaan läänin vaalipiiri,Pirkko,Turpeinen-Saari
mi,vas,Pirkanmaan vaalipiiri,Pertti,Turtiainen
mi,Sdp,Mikkelin läänin vaalipiiri,Väinö,Turunen
mi,ps,Keski-Suomen vaalipiiri,Kauko,Tuupainen
na,sd,Kuopion vaalipiiri,Marja-Liisa,Tykkyläinen
mi,vihr,Pirkanmaan vaalipiiri,Oras,Tynkkynen
na,Sdp,Turun läänin pohjoinen vaalipiiri,Pirkko,Työläjärvi
mi,kesk,Turun läänin eteläinen vaalipiiri,Taisto,Tähkämaa
mi,vas,Uudenmaan läänin vaalipiiri,Pauli,Uitto
na,kok,Oulun vaalipiiri,Tuulikki,Ukkola
na,kok,Kymen vaalipiiri,Riitta,Uosukainen
na,kok,Kymen vaalipiiri,Anu,Urpalainen
mi,sd,Vaasan vaalipiiri,Kari,Urpilainen
mi,ps,Uudenmaan vaalipiiri,Markku,Uusipaavalniemi
na,kok,Uudenmaan vaalipiiri,Raija,Vahasalo
mi,Smp,Hämeen läänin eteläinen vaalipiiri,Mikko,Vainio
mi,kok,Oulun läänin vaalipiiri,Sakari,Valli
mi,kok,Helsingin vaalipiiri,Jan,Vapaavuori
na,sd,Turun läänin eteläinen vaalipiiri,Helena,Vartiainen
na,kok,Hämeen läänin eteläinen vaalipiiri,Ritva,Vastamäki
na,sd,Vaasan vaalipiiri,Marjatta,Vehkaoja
mi,Smp,Turun läänin eteläinen vaalipiiri,Pekka,Vennamo
mi,Skdl,Kuopion läänin vaalipiiri,Osmo,Vepsäläinen
mi,skl,Kymen läänin vaalipiiri,Raino,Westerholm
na,kesk,Oulun läänin vaalipiiri,Maija-Liisa,Veteläinen
na,r,Vaasan vaalipiiri,Ulla-Maj,Wideroos
mi,kok,Keski-Suomen vaalipiiri,Ahti,Vielma
mi,kesk,Vaasan vaalipiiri,Jukka,Vihriälä
mi,kok,Hämeen läänin eteläinen vaalipiiri,Iiro,Viinanen
mi,sd,Mikkelin läänin vaalipiiri,Janne,Viitamies
na,sd,Etelä-Savon vaalipiiri,Pauliina,Viitamies
mi,kok,Lapin vaalipiiri,Jari,Vilén
mi,kok,Hämeen vaalipiiri,Ilkka,Viljanen
mi,kesk,Uudenmaan läänin vaalipiiri,Pekka,Viljanen
mi,kesk,Oulun vaalipiiri,Pekka,Vilkuna
mi,Sdp,Turun läänin pohjoinen vaalipiiri,Väinö,Vilponiemi
mi,kok,Uudenmaan vaalipiiri,Lasse,Virén
na,kok,Keski-Suomen vaalipiiri,Henna,Virkkunen
mi,kesk,Vaasan läänin vaalipiiri,Kyösti,Virrankoski
mi,vas,Pohjois-Savon vaalipiiri,Erkki,Virtanen
mi,ps,Pirkanmaan vaalipiiri,Pertti,Virtanen
mi,ps,Vaasan vaalipiiri,Raimo,Vistbacka
mi,sd,Satakunnan vaalipiiri,Antti,Vuolanne
mi,kesk,Hämeen läänin pohjoinen vaalipiiri,Markku,Vuorensola
mi,Sdp,Turun läänin pohjoinen vaalipiiri,Raimo,Vuoristo
mi,kesk,Pohjois-Karjalan vaalipiiri,Matti,Väistö
mi,kok,Pohjois-Karjalan läänin vaalipiiri,Mauri,Vänskä
na,kesk,Uudenmaan läänin vaalipiiri,Marjatta,Väänänen
mi,ps,Helsingin vaalipiiri,Juha,Väätäinen
na,sd,Pohjois-Savon vaalipiiri,Tuula,Väätäinen
na,kesk,Pirkanmaan vaalipiiri,Jaana,Ylä-Mononen
mi,vr,Varsinais-Suomen vaalipiiri,Jyrki,Yrttiaho
na,Rkp,Helsingin kaupungin vaalipiiri,Jutta,Zilliacus
